Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
ENVIROSAFE SERVICES OF OHIO INC,876 OTTER CREEK RD.,OREGON,OH,43616,LUCAS,OHD045243706,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD045243706,,https://echo.epa.gov/detailed-facility-report?fid=110000384352,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000384352,"https://map22.epa.gov/cimc/latLong&params=41.66864,-83.464759"
"OHIO REFINING CO,",4001 CEDAR POINT ROAD,OREGON,OH,43616,LUCAS,OHD005057542,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD005057542,,https://echo.epa.gov/detailed-facility-report?fid=110000384361,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000384361,"https://map22.epa.gov/cimc/latLong&params=41.679167,-83.449722"
MAHLE ENGINE COMPONENTS USA INC,5130 N STATE ROUTE 60 NW,MCCONNELSVILLE,OH,43756,MORGAN,OHD986979466,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD986979466,,https://echo.epa.gov/detailed-facility-report?fid=110000384575,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000384575,"https://map22.epa.gov/cimc/latLong&params=39.67699,-81.8821"
BODYCOTE METALLURGICAL,900 E. HENNEPIN AVE.,MINNEAPOLIS,MN,55414,HENNEPIN,MND006252589,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:MND006252589,,https://echo.epa.gov/detailed-facility-report?fid=110000425530,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000425530,"https://map22.epa.gov/cimc/latLong&params=44.99149,-93.24096"
NORTHROP GRUMMAN SYSTEMS CORP. - BWI,7323 AVIATION BOULEVARD,LINTHICUM,MD,21090,ANNE ARUNDEL,MDD000619718,,https://www.epa.gov/node/111961,,https://echo.epa.gov/detailed-facility-report?fid=110000339526,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000339526,"https://map22.epa.gov/cimc/latLong&params=39.184551,-76.689422"
RACER PROPERTIES LLC PROPERTY,11032 TIDEWATER TRAIL,FREDERICKSBURG,VA,22408,SPOTSYLVANIA,VAD091222588,,https://www.epa.gov/node/119855,,https://echo.epa.gov/detailed-facility-report?fid=110000340925,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000340925,"https://map22.epa.gov/cimc/latLong&params=38.259206,-77.435289"
GENICOM CORP,ONE SOLUTIONS WAY,WAYNESBORO,VA,22980,WAYNESBORO CITY,VAD003132438,,https://www.epa.gov/node/119883,,https://echo.epa.gov/detailed-facility-report?fid=110000341513,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000341513,"https://map22.epa.gov/cimc/latLong&params=38.091165,-78.870526"
CHEMICAL SOLVENTS INC,3751 JENNINGS ROAD,CLEVELAND,OH,44109,CUYAHOGA,OHD052937885,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD052937885,,https://echo.epa.gov/detailed-facility-report?fid=110000386804,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000386804,"https://map22.epa.gov/cimc/latLong&params=41.4525,-81.68771"
SCRAPCOM,3301 MONROE AVE.,CLEVELAND,OH,44113,CUYAHOGA,OHD980681571,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD980681571,,https://echo.epa.gov/detailed-facility-report?fid=110000387064,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000387064,"https://map22.epa.gov/cimc/latLong&params=41.47834,-81.7078"
GENERAL ENVIRONMENTAL MANAGEMENT LLC (1318005977),2655 TRANSPORT ROAD,CLEVELAND,OH,44115,CUYAHOGA,OHD004178612,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:OHD004178612,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0505730,https://echo.epa.gov/detailed-facility-report?fid=110000387206,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000387206,"https://map22.epa.gov/cimc/latLong&params=41.48622,-81.6716"
HENTZEN COATINGS INC,1500 LATHEM STREET,BATAVIA,IL,60510,KANE,ILD095309647,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD095309647,,https://echo.epa.gov/detailed-facility-report?fid=110000433585,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000433585,"https://map22.epa.gov/cimc/latLong&params=41.857216,-88.27503"
UOP LLC MCCOOK PLANT,8400 JOLIET ROAD,MC COOK,IL,60525,COOK,ILD000814640,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD000814640,,https://echo.epa.gov/detailed-facility-report?fid=110000433638,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000433638,"https://map22.epa.gov/cimc/latLong&params=41.79967,-87.82744"
"SHERWIN WILLIAMS COMPANY, THE",11541 SOUTH CHAMPLAIN AVENUE,CHICAGO,IL,60628,COOK,ILD005456439,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ILD005456439,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0500202,https://echo.epa.gov/detailed-facility-report?fid=110000434913,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000434913,"https://map22.epa.gov/cimc/latLong&params=41.684283,-87.607018"
"FEDERAL-MOGUL POWERTRAIN, LLC",300 INDUSTRIAL PARK ROAD S.E.,BLACKSBURG,VA,24060,MONTGOMERY,VAD054039961,,https://www.epa.gov/node/119765,,https://echo.epa.gov/detailed-facility-report?fid=110000342987,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000342987,"https://map22.epa.gov/cimc/latLong&params=37.192593,-80.397575"
